N,Time,hits:Mean,hits:StdDev,hits:NormalizedMean,swaps:Mean,swaps:StdDev,swaps:NormalizedMean,compares:Mean,compares:StdDev,compares:NormalizedMean,fixes:Mean,fixes:StdDev,fixes:NormalizedMean
10000,9.358375,269836.0,0.0,2.9297071454711463,9814.0,0.0,0.10655415113496283,123568.0,0.0,1.3416225134955255,2.5174094E7,0.0,273.324252777844
20000,55.086833,580158.0,0.0,2.929059065921836,19712.0,0.0,0.09952049667065047,267158.0,0.0,1.3488076729676155,1.00115793E8,0.0,505.4572566931834
40000,22.608459,1238178.0,0.0,2.9211585356737007,38930.0,0.0,0.09184519656606495,573853.0,0.0,1.353856706525201,3.99355632E8,0.0,942.1756106037785
80000,35.783625,2638088.0,0.0,2.9208801597940885,78275.0,0.0,0.08666575736210554,1228354.0,0.0,1.36002848570772,1.597032828E9,0.0,1768.2281644300892
160000,73.313876,5593806.0,0.0,2.9175911185918184,155870.0,0.0,0.08129794412872143,2616095.0,0.0,1.3644905699969687,2.091425472E9,0.0,1090.835896401109
