0.005,71.0
0.01,97.1
0.015,130.3
0.02,177.6
0.025,180.1
0.03,236.5
0.035,252.5
0.04,274.1
0.045,288.6
0.05,322.0
0.055,379.9
0.06,398.7
0.065,483.8
0.07,563.3
0.075,612.5
0.08,642.6
0.085,670.5
0.09,693.0
0.095,709.6
0.1,767.0
0.105,772.2
0.11,823.5
0.115,856.9
0.12,910.9
0.125,945.8
0.13,981.6
0.135,1022.1
0.14,1022.6
0.145,1034.0
0.15,1062.4
0.155,1073.0
0.16,1078.6
0.165,1136.3
0.17,1139.2
0.175,1152.3
0.18,1161.2
0.185,1171.5
0.19,1175.6
0.195,1198.4
0.2,1209.8
0.205,1270.5
0.21,1283.1
0.215,1291.6
0.22,1307.6
0.225,1344.2
0.23,1393.0
0.235,1411.1
0.24,1416.8
0.245,1417.4
0.25,1436.5
0.255,1437.4
0.26,1464.3
0.265,1474.0
0.27,1494.1
0.275,1515.4
0.28,1534.9
0.285,1550.4
0.29,1551.6
0.295,1557.8
0.3,1593.4
0.305,1621.7
0.31,1627.0
0.315,1634.3
0.32,1677.0
0.325,1677.2
0.33,1720.3
0.335,1721.4
0.34,1734.3
0.345,1768.4
0.35,1779.1
0.355,1840.2
0.36,1928.8
0.365,1955.2
0.37,2046.5
0.375,2046.9
0.38,2195.8
0.385,2204.4
0.39,2254.7
0.395,2333.1
0.4,2383.2
0.405,2387.4
0.41,2425.3
0.415,2507.8
0.42,2583.0
0.425,2585.5
0.43,2604.7
0.435,2628.2
0.44,2634.0
0.445,2660.5
0.45,2675.1
0.455,2679.6
0.46,2687.2
0.465,2728.0
0.47,2744.2
0.475,2762.2
0.48,2806.2
0.485,2816.1
0.49,2820.7
0.495,2863.8
0.5,2916.5
0.505,2920.1
0.51,2923.1
0.515,2930.2
0.52,2979.7
0.525,2985.2
0.53,3019.0
0.535,3072.9
0.54,3080.3
0.545,3083.2
0.55,3092.0
0.555,3203.1
0.56,3261.3
0.565,3338.9
0.57,3349.2
0.575,3353.0
0.58,3380.7
0.585,3428.5
0.59,3432.4
0.595,3459.4
0.6,3498.0
0.605,3532.4
0.61,3572.4
0.615,3575.9
0.62,3591.9
0.625,3607.9
0.63,3614.4
0.635,3640.7
0.64,3686.8
0.645,3708.4
0.65,3737.3
0.655,3797.2
0.66,3836.2
0.665,3841.1
0.67,3872.0
0.675,3876.1
0.68,3878.8
0.685,3948.3
0.69,3986.7
0.695,3987.1
0.7,4056.2
0.705,4133.9
0.71,4159.2
0.715,4209.2
0.72,4217.9
0.725,4267.1
0.73,4314.4
0.735,4331.7
0.74,4381.5
0.745,4409.4
0.75,4421.4
0.755,4428.0
0.76,4439.4
0.765,4450.5
0.77,4454.8
0.775,4552.9
0.78,4562.1
0.785,4564.6
0.79,4592.3
0.795,4613.8
0.8,4654.2
0.805,4693.5
0.81,4724.7
0.815,4731.2
0.82,4761.4
0.825,4773.2
0.83,4841.6
0.835,4855.2
0.84,4892.1
0.845,4950.0
0.85,4957.8
0.855,4996.6
0.86,5004.8
0.865,5012.3
0.87,5018.3
0.875,5067.6
0.88,5068.6
0.885,5075.1
0.89,5115.1
0.895,5125.2
0.9,5128.1
0.905,5154.4
0.91,5163.5
0.915,5207.8
0.92,5221.7
0.925,5250.2
0.93,5278.3
